id|address|bldgnbr|predir|streetname|streettype|suffdir|city|state_code|zip5|zip4|latitude|longitude|fullfipsid|objectid|gid|geom|cty_rural|blk_rural,,
22708|MP 323   I-10   BENSON AZ 85602|MP 323||I-10|||BENSON|AZ|85602||31.9629|-110.344|040030003012025|10-1-04-2-8993|7360|0101000020E6100000000000E006965BC0000000807DF63F40|0|0,,
20591|686 N ADAMS ST BENSON AZ 85602|686|N|ADAMS|ST||BENSON|AZ|85602||31.9772|-110.299|040030003013002|10-1-04-2-7087|7361|0101000020E6100000000000801B935BC0000000202BFA3F40|0|0,,
23081|699 N OCOTILLO RD BENSON AZ 85602|699|N|OCOTILLO|RD||BENSON|AZ|85602||31.9775|-110.307|040030003013003|10-1-04-2-9328|7362|0101000020E610000000000060A8935BC0000000803FFA3F40|0|0,,
21314|435 N ADAMS ST BENSON AZ 85602|435|N|ADAMS|ST||BENSON|AZ|85602||31.9723|-110.299|040030003013006|10-1-04-2-7738|7363|0101000020E6100000000000E01C935BC0000000A0EBF83F40|0|0,,
21315|249 E 4TH ST BENSON AZ 85602|249|E|4TH|ST||BENSON|AZ|85602||31.9681|-110.295|040030003013011|10-1-04-2-7739|7364|0101000020E6100000000000C0E4925BC000000020D4F73F40|0|0,,
13553|599 W 4TH ST BENSON AZ 85602|599|W|4TH|ST||BENSON|AZ|85602||31.9699|-110.305|040030003013015|10-1-04-2-10065|7365|0101000020E61000000000008080935BC0000000204EF83F40|0|0,,
15018|360 S PATAGONIA ST BENSON AZ 85602|360|S|PATAGONIA|ST||BENSON|AZ|85602||31.9652|-110.298|040030003013015|10-1-04-2-2070|7366|0101000020E61000000000006018935BC0000000401AF73F40|0|0,,
20592|553 W 4TH ST BENSON AZ 85602|553|W|4TH|ST||BENSON|AZ|85602||31.9701|-110.305|040030003013015|10-1-04-2-7088|7367|0101000020E6100000000000C08C935BC00000002059F83F40|0|0,,
20947|557 W 4TH ST BENSON AZ 85602|557|W|4TH|ST||BENSON|AZ|85602||31.9701|-110.306|040030003013015|10-1-04-2-7407|7368|0101000020E6100000000000E08E935BC0000000005BF83F40|0|0,,
20993|551 W 4TH ST BENSON AZ 85602|551|W|4TH|ST||BENSON|AZ|85602||31.9701|-110.305|040030003013015|10-1-04-2-7449|7369|0101000020E6100000000000A08B935BC00000002058F83F40|0|0,,
15495|360 S PATAGONIA ST BENSON AZ 85602|360|S|PATAGONIA|ST||BENSON|AZ|85602|2030|31.9661|-110.298|040030003013028|10-1-04-2-250|7370|0101000020E61000000000000015935BC0000000A04FF73F40|0|0,,
15506|360 S PATAGONIA ST BENSON AZ 85602|360|S|PATAGONIA|ST||BENSON|AZ|85602|2030|31.9661|-110.298|040030003013028|10-1-04-2-251|7371|0101000020E61000000000000015935BC0000000A04FF73F40|0|0,,
15517|360 S PATAGONIA ST BENSON AZ 85602|360|S|PATAGONIA|ST||BENSON|AZ|85602|2030|31.9661|-110.298|040030003013028|10-1-04-2-252|7372|0101000020E61000000000000015935BC0000000A04FF73F40|0|0,,
15727|360 S PATAGONIA ST BENSON AZ 85602|360|S|PATAGONIA|ST||BENSON|AZ|85602||31.9661|-110.298|040030003013028|10-1-04-2-2709|7373|0101000020E61000000000000015935BC0000000A04FF73F40|0|0,,
19138|360 S PATAGONIA ST BENSON AZ 85602|360|S|PATAGONIA|ST||BENSON|AZ|85602||31.9661|-110.298|040030003013028|10-1-04-2-578|7374|0101000020E61000000000000015935BC0000000A04FF73F40|0|0,,
19161|360 S PATAGONIA ST BENSON AZ 85602|360|S|PATAGONIA|ST||BENSON|AZ|85602||31.9661|-110.298|040030003013028|10-1-04-2-580|7375|0101000020E61000000000000015935BC0000000A04FF73F40|0|0,,
21310|120 W 6TH ST BENSON AZ 85602|120|W|6TH|ST||BENSON|AZ|85602||31.9665|-110.298|040030003013029|10-1-04-2-7734|7376|0101000020E61000000000008019935BC0000000606EF73F40|0|0,,
16909|126 W 5TH ST BENSON AZ 85602|126|W|5TH|ST||BENSON|AZ|85602||31.9676|-110.298|040030003013030|10-1-04-2-3773|7377|0101000020E6100000000000C015935BC000000080B2F73F40|0|0,,
19984|126 W 5TH ST BENSON AZ 85602|126|W|5TH|ST||BENSON|AZ|85602||31.9676|-110.298|040030003013030|10-1-04-2-6540|7378|0101000020E6100000000000C015935BC000000080B2F73F40|0|0,,
21313|126 W 5TH ST BENSON AZ 85602|126|W|5TH|ST||BENSON|AZ|85602||31.9676|-110.298|040030003013030|10-1-04-2-7737|7379|0101000020E6100000000000C015935BC000000080B2F73F40|0|0,,
21428|126 W 5TH ST BENSON AZ 85602|126|W|5TH|ST||BENSON|AZ|85602||31.9676|-110.298|040030003013030|10-1-04-2-7840|7380|0101000020E6100000000000C015935BC000000080B2F73F40|0|0,,
21435|126 W 5TH ST BENSON AZ 85602|126|W|5TH|ST||BENSON|AZ|85602||31.9676|-110.298|040030003013030|10-1-04-2-7847|7381|0101000020E6100000000000C015935BC000000080B2F73F40|0|0,,
21446|126 W 5TH ST BENSON AZ 85602|126|W|5TH|ST||BENSON|AZ|85602||31.9676|-110.298|040030003013030|10-1-04-2-7857|7382|0101000020E6100000000000C015935BC000000080B2F73F40|0|0,,
15019|260 S PATAGONIA ST BENSON AZ 85602|260|S|PATAGONIA|ST||BENSON|AZ|85602||31.9652|-110.297|040030003013044|10-1-04-2-2071|7383|0101000020E6100000000000A0FF925BC00000008015F73F40|0|0,,
